"","ActivityName","SubjectNumber","N","ActivityNumber","timeBodyAccerelometer-mean()-X","timeBodyAccerelometer-mean()-Y","timeBodyAccerelometer-mean()-Z","timeBodyAccerelometer-std()-X","timeBodyAccerelometer-std()-Y","timeBodyAccerelometer-std()-Z","timeGravityAccerelometer-mean()-X","timeGravityAccerelometer-mean()-Y","timeGravityAccerelometer-mean()-Z","timeGravityAccerelometer-std()-X","timeGravityAccerelometer-std()-Y","timeGravityAccerelometer-std()-Z","timeBodyAccerelometerJerk-mean()-X","timeBodyAccerelometerJerk-mean()-Y","timeBodyAccerelometerJerk-mean()-Z","timeBodyAccerelometerJerk-std()-X","timeBodyAccerelometerJerk-std()-Y","timeBodyAccerelometerJerk-std()-Z","timeBodyGyroscope-mean()-X","timeBodyGyroscope-mean()-Y","timeBodyGyroscope-mean()-Z","timeBodyGyroscope-std()-X","timeBodyGyroscope-std()-Y","timeBodyGyroscope-std()-Z","timeBodyGyroscopeJerk-mean()-X","timeBodyGyroscopeJerk-mean()-Y","timeBodyGyroscopeJerk-mean()-Z","timeBodyGyroscopeJerk-std()-X","timeBodyGyroscopeJerk-std()-Y","timeBodyGyroscopeJerk-std()-Z","timeBodyAccerelometerMagnitude-mean()","timeBodyAccerelometerMagnitude-std()","timeGravityAccerelometerMagnitude-mean()","timeGravityAccerelometerMagnitude-std()","timeBodyAccerelometerJerkMagnitude-mean()","timeBodyAccerelometerJerkMagnitude-std()","timeBodyGyroscopeMagnitude-mean()","timeBodyGyroscopeMagnitude-std()","timeBodyGyroscopeJerkMagnitude-mean()","timeBodyGyroscopeJerkMagnitude-std()","freqBodyAccerelometer-mean()-X","freqBodyAccerelometer-mean()-Y","freqBodyAccerelometer-mean()-Z","freqBodyAccerelometer-std()-X","freqBodyAccerelometer-std()-Y","freqBodyAccerelometer-std()-Z","freqBodyAccerelometer-meanFrequency()-X","freqBodyAccerelometer-meanFrequency()-Y","freqBodyAccerelometer-meanFrequency()-Z","freqBodyAccerelometerJerk-mean()-X","freqBodyAccerelometerJerk-mean()-Y","freqBodyAccerelometerJerk-mean()-Z","freqBodyAccerelometerJerk-std()-X","freqBodyAccerelometerJerk-std()-Y","freqBodyAccerelometerJerk-std()-Z","freqBodyAccerelometerJerk-meanFrequency()-X","freqBodyAccerelometerJerk-meanFrequency()-Y","freqBodyAccerelometerJerk-meanFrequency()-Z","freqBodyGyroscope-mean()-X","freqBodyGyroscope-mean()-Y","freqBodyGyroscope-mean()-Z","freqBodyGyroscope-std()-X","freqBodyGyroscope-std()-Y","freqBodyGyroscope-std()-Z","freqBodyGyroscope-meanFrequency()-X","freqBodyGyroscope-meanFrequency()-Y","freqBodyGyroscope-meanFrequency()-Z","freqBodyAccerelometerMagnitude-mean()","freqBodyAccerelometerMagnitude-std()","freqBodyAccerelometerMagnitude-meanFrequency()","freqBodyBodyAccerelometerJerkMagnitude-mean()","freqBodyBodyAccerelometerJerkMagnitude-std()","freqBodyBodyAccerelometerJerkMagnitude-meanFrequency()","freqBodyBodyGyroscopeMagnitude-mean()","freqBodyBodyGyroscopeMagnitude-std()","freqBodyBodyGyroscopeMagnitude-meanFrequency()","freqBodyBodyGyroscopeJerkMagnitude-mean()","freqBodyBodyGyroscopeJerkMagnitude-std()","freqBodyBodyGyroscopeJerkMagnitude-meanFrequency()"
"1","WALKING",2,59,1,0.276619901694915,-0.0181360603762712,-0.107070245966102,-0.986779671186441,-0.956600062711864,-0.959620611186441,0.819830114237288,-0.196569558135593,0.141379225745763,-0.985328428983051,-0.973525776440678,-0.962723294237288,0.0757685099152542,0.0109689975,-0.000690378560847457,-0.981083843389831,-0.973564489152542,-0.984472175593221,-0.0326737270425424,-0.0833153597355932,0.0814299288745763,-0.977887980847458,-0.971213081016949,-0.958076469661017,-0.100865281440678,-0.0405030414271186,-0.0539815024915254,-0.98336412779661,-0.984588740508475,-0.973688906949153,-0.969858494237288,-0.961241901016949,-0.969858494237288,-0.961241901016949,-0.981773258474576,-0.978087240169491,-0.956390581864407,-0.952735206949153,-0.985199931186441,-0.97957481,-0.983752858644068,-0.960579598813559,-0.969734806779661,-0.988365093559322,-0.956608911525423,-0.956821232033898,0.112450436009492,0.085015161250678,0.103091695227119,-0.981046109830508,-0.973015948305085,-0.981520257288136,-0.982917021355932,-0.976285338135593,-0.986132459830508,0.3245801211,-0.0257626755166102,0.0584522290440678,-0.972790352711865,-0.973336946101695,-0.954837886271186,-0.979594748305085,-0.970268104576271,-0.963177489491525,0.014204621220339,-0.206511223440678,-0.0146506976477966,-0.966531131355932,-0.963701023728814,0.117240105201695,-0.978628206779661,-0.976333763050847,0.264059033149153,-0.961745696271187,-0.955075668644068,-0.082667662559322,-0.980336073728813,-0.979860545932204,0.180946956318644
"2","WALKING",4,60,1,0.28220043665,-0.0192934351293333,-0.1082960475,-0.56180796155,-0.365175115366667,-0.567451736383333,0.405671018833333,0.0171483725,0.228533442836667,-0.963203094833333,-0.974874999,-0.970893349833334,0.0801296535195,0.00974571747,-0.007153708721,-0.49890835343,-0.381492643441667,-0.701701769833333,-0.0425568398518333,-0.0660403140166667,0.100768074128333,-0.705778747333333,-0.692292257333333,-0.636642708333333,-0.0844845654666666,-0.04606021984,-0.0664964045933333,-0.662421635666667,-0.812559222,-0.672977523166666,-0.488862041778333,-0.53641302402,-0.488862041778333,-0.53641302402,-0.5181598169,-0.43801525755,-0.6098995735,-0.699730197666667,-0.749711928333333,-0.7727290195,-0.515069279721667,-0.3448900277,-0.59077544435,-0.582460137516667,-0.416890522616667,-0.58910036425,-0.24803156942,0.140410043016667,0.130464582746667,-0.505466860581666,-0.409432820158333,-0.671057707833333,-0.538509730833333,-0.392945461983333,-0.7311803605,-0.003365310905,-0.144286163283333,-0.125761671566667,-0.640451356666667,-0.718240656,-0.589592964666667,-0.727281349833333,-0.679843434833333,-0.687008530166666,-0.00108967712166667,-0.11744489539,0.000722647426666664,-0.485436941486667,-0.640990258866667,0.193611098701667,-0.44314324035,-0.435602538225,0.231901645575,-0.711357197166667,-0.7453335975,0.0964528329333333,-0.7783793,-0.781822275499999,0.168871310958833
"3","WALKING",9,52,1,0.255528501519231,-0.0168549682846154,-0.142681510076923,-0.413253824982692,-0.148564285896154,-0.174341698280769,0.802927820576923,-0.341768429038461,-0.242590992134615,-0.946393638461538,-0.937479770192308,-0.8895314375,0.0854721666451923,-0.00488629370596154,-0.00928490556538462,-0.347236390961538,-0.352969755786538,-0.5544768575,-0.0631021805565385,-0.0387838277596154,0.112823130769231,-0.508280808519231,-0.585140020961538,-0.29943218405,-0.0841911267673077,-0.0450584905211538,-0.0553836121461538,-0.548008421923077,-0.678377970192308,-0.547957753461539,-0.259443331805769,-0.283473363442308,-0.259443331805769,-0.283473363442308,-0.397304021730769,-0.301752103730769,-0.344818705398654,-0.480549145384615,-0.630720810769231,-0.640215811538461,-0.376719938834615,-0.210562663211538,-0.301972740398077,-0.429222270557692,-0.173632357478846,-0.172914251061538,-0.156311111384615,-0.0443436285076923,-0.105438171907962,-0.349685793576923,-0.365294206301923,-0.503872596980769,-0.405806102871154,-0.385915346673077,-0.604885711346154,0.0170263490384615,-0.266512308817308,-0.232059608346154,-0.419893005557692,-0.569179208076923,-0.346197684807692,-0.538368253923077,-0.599413689230769,-0.35508191425,-0.144091370561538,-0.0743108800076923,-0.100858246773077,-0.243750656980769,-0.419464475346154,0.067652296025,-0.291545053461538,-0.320454316890385,0.0647725342769231,-0.546542324807692,-0.527621383076923,-0.0601112099057692,-0.641491980769231,-0.663935760192308,0.0572440517615385
"4","WALKING",10,53,1,0.277347799622641,-0.0159059783037736,-0.107826281283019,-0.981402981132075,-0.962232531698113,-0.968237386226415,0.386764447924528,0.192484195906717,0.406924889056604,-0.969392295849057,-0.967791143584906,-0.963010439056604,0.0759314160566038,0.0123292179392453,0.00648825052943396,-0.98618521754717,-0.978099126981132,-0.986372413396226,-0.0333266125622642,-0.0793321788113207,0.0926067373773585,-0.986672290943396,-0.980193733584905,-0.961212218490566,-0.0985977166226415,-0.0396075553396226,-0.0559927764698113,-0.990142289811321,-0.989036121698113,-0.987868201886793,-0.972012606792453,-0.958394619811321,-0.972012606792453,-0.958394619811321,-0.986144804905661,-0.982419358867925,-0.945074937735849,-0.961021941132076,-0.990894718867924,-0.988402153396227,-0.980458489056603,-0.964316775283019,-0.973727526603774,-0.98193796509434,-0.963052094150944,-0.967314385849057,0.0202459089509434,0.216878075249057,0.283663936024528,-0.985974220377358,-0.977401207735849,-0.983979446415094,-0.987755383396226,-0.980690452264151,-0.987388599433962,0.242823171831434,0.0487868544075472,0.124335579524528,-0.983900796037736,-0.981774065283019,-0.962444975283019,-0.987601918113208,-0.979536059811321,-0.96440164754717,0.0625575122056604,-0.0521056510358491,0.0927083545001887,-0.963287167735849,-0.961829126603774,0.279604239641509,-0.981949484528302,-0.981948357358491,0.282837529,-0.972071874528302,-0.960925338301887,-0.0298893411735849,-0.988656214339623,-0.988549630943396,0.223306299037736
"5","WALKING",12,50,1,0.2753320212,-0.021277246052,-0.11023773626,-0.25461221822,0.049529002012,-0.3963761382,0.8196129688,-0.2715962414,0.16684989992,-0.9600525214,-0.956295769,-0.9584354568,0.075022342781,0.017895063076,0.008243069714,-0.119028992792,0.055748684436,-0.5204471098,-0.1024124513168,-0.00736269539999999,0.05873114724,-0.47856301822,-0.4955292234,-0.41063250476,-0.07949179386,-0.05011176277,-0.046667756684,-0.26034111168,-0.48930326944,-0.2880274477,-0.17099726584,-0.19655734,-0.17099726584,-0.19655734,-0.18326412975,-0.00121932579000002,-0.349992297216,-0.42616157406,-0.4386981496,-0.36748373548,-0.1805144652,0.091599775348,-0.40185600804,-0.288037993692,-0.04263490986,-0.4425252656,-0.156823743002,0.18437533077,0.1625495549594,-0.1452517396,-0.00245343251999999,-0.48630682858,-0.1717882404,0.04699233661,-0.5533046632,-0.0948347607626,-0.25986705408,-0.185840728412,-0.298859599484,-0.45268688036,-0.260492947726,-0.53707421204,-0.529385016,-0.5246082878,0.076956379678,0.16615599356,0.23619053766,-0.09819132336,-0.38584392252,0.352284609892,-0.00758341679800001,-0.00198478806799997,0.17557032132,-0.40399652094,-0.5484895092,0.3372804158,-0.4191130999,-0.3487719569,0.024176471136
"6","WALKING",13,57,1,0.270651574210526,-0.019965793014386,-0.110933631403509,-0.580958714368421,-0.36275703477193,-0.580085264280702,0.896227908947369,-0.257424646912281,0.126346784407018,-0.958515794561404,-0.932427389473684,-0.899640082017544,0.0771040445263158,-0.00763215650057895,-0.0056717486445614,-0.570934663824561,-0.495340559010526,-0.789204198070175,-0.0322536487894737,-0.0701056135438596,0.0816519317877193,-0.668118870463158,-0.701356902105263,-0.644835901754386,-0.0865119785526316,-0.0393623408789474,-0.0537565186070175,-0.679540281859649,-0.806707768421053,-0.678356344201754,-0.494416887385965,-0.505753264635088,-0.494416887385965,-0.505753264635088,-0.604148663508772,-0.538616736226316,-0.583142563792982,-0.627913451175439,-0.758730641403509,-0.761029468070175,-0.561619958578948,-0.387609807398421,-0.652477134701754,-0.589624918105263,-0.391806374577193,-0.576895973333333,-0.146878096027719,-0.0528737032210526,-0.120555020505263,-0.559210871842105,-0.494666613845614,-0.762138041929825,-0.625581930964912,-0.534527656736842,-0.815835735438597,0.0997194502807018,-0.20063694522807,-0.124466082554386,-0.600725546910526,-0.720670058947368,-0.611334307707018,-0.692108053140351,-0.694345628596491,-0.69123735,-0.181545841401754,-0.260776709263158,-0.00858542788771928,-0.481497046622807,-0.598790721721053,0.00423335063859649,-0.523682377829825,-0.561384636368421,0.144646466017544,-0.671883143157895,-0.665196355649123,-0.129590749944386,-0.768798540350877,-0.768488366140351,0.0545649294982456
"7","WALKING",18,56,1,0.276552252071429,-0.0122237134285714,-0.112138988125,-0.94781085125,-0.915504878035714,-0.939924906071428,0.193324802857143,0.519706863132941,0.320840435535714,-0.965255820892857,-0.974790451071429,-0.972685442142857,0.0758123212321428,0.000398179836250001,-0.00351790502767857,-0.94474392,-0.927848948571428,-0.966470044642857,-0.0340936545071429,-0.090144483125,0.11820771075,-0.955601880357143,-0.950876550178572,-0.94507134125,-0.0968547999821428,-0.0394542786428572,-0.0545345899375,-0.957667284642857,-0.978516108035714,-0.967541745714286,-0.93329228875,-0.935457978214286,-0.93329228875,-0.935457978214286,-0.945540328571428,-0.939927477857143,-0.920621493035714,-0.932878468214286,-0.971689816785714,-0.974375364642857,-0.9446604575,-0.917341055892857,-0.949487697857143,-0.949455643392857,-0.919328547142857,-0.938680689285714,-0.107464887855357,0.259840214744643,0.102193826998214,-0.946247201964286,-0.931031214821428,-0.962647371428572,-0.948156037321429,-0.929299644821429,-0.968914328392857,0.222772218098214,0.0169967984767857,0.0506575497946429,-0.947113553571429,-0.962069348928572,-0.942357112142857,-0.958540371964286,-0.945686447321429,-0.951226660178571,0.00816174514107147,-0.473292951392857,0.0740987678392857,-0.936172510357143,-0.944768449821429,0.171389462496429,-0.939252561071429,-0.940034113928571,0.291256204883929,-0.947698031607143,-0.935102040714286,-0.206341001678571,-0.974627828571428,-0.97559462625,0.223168957517857
"8","WALKING",20,51,1,0.277413895098039,-0.0125050820254902,-0.104681860372549,-0.302578740535294,-0.211203068431372,-0.530580641764706,0.955345875490196,-0.102266898,0.152007578431373,-0.973641240588235,-0.959074932156863,-0.951101383921569,0.0947227536686275,0.00892351858431372,-0.00923738830196078,-0.278135466529412,-0.260763391764706,-0.676791899803921,-0.0459612003666667,-0.0726299925647059,0.0765030538352941,-0.486752580039216,-0.685051592352941,-0.581122863333333,-0.108549219476471,-0.0413721821078431,-0.0639358984,-0.493745453921569,-0.803741873137255,-0.511586667254902,-0.252875103884314,-0.38552040827451,-0.252875103884314,-0.38552040827451,-0.351568511764706,-0.309262312352941,-0.46132175,-0.513508028294118,-0.655710967254902,-0.703844364509804,-0.316449529411765,-0.210787398488235,-0.566574780784314,-0.299526178921569,-0.263803339031373,-0.548132340392157,-0.240957254309804,0.0621107625392157,0.00958276009215687,-0.321672961264706,-0.300909574117647,-0.651060545294118,-0.299580985607843,-0.268205643745098,-0.700778874117647,-0.188110495137255,-0.308508957823529,-0.25360942677451,-0.370601804431373,-0.700383480392157,-0.472560991176471,-0.525376347627451,-0.678722740588235,-0.663470337058824,-0.135404621809804,-0.189915042403922,0.196741955247059,-0.311657206823529,-0.528058548235294,0.278096412941177,-0.299045111254902,-0.329735590588235,0.0677342653756863,-0.560190555098039,-0.567243147647059,0.0527498724058824,-0.698955140392157,-0.732515734313725,0.162377295643137
"9","WALKING",24,58,1,0.278561305448276,-0.0154567221653448,-0.104676153931034,-0.616734694913793,-0.458915928701724,-0.660356002241379,0.946267595172414,-0.136566448413793,0.105080626431034,-0.959925597413793,-0.899733876086207,-0.908578809827586,0.0669547523137931,-0.0108266024182759,-0.000233411161034484,-0.702372355,-0.646327630293103,-0.859494376896552,-0.0115257640465517,-0.060382824787931,0.0891943324482759,-0.709970862413793,-0.775450690172414,-0.609543928965517,-0.109353344713793,-0.0415227461724138,-0.0674385467165517,-0.768502243275862,-0.908454735172414,-0.777360838275862,-0.549703145275862,-0.548560457844828,-0.549703145275862,-0.548560457844828,-0.710745324137931,-0.716012412931035,-0.624038493965517,-0.710619678965517,-0.841670807068965,-0.868104884310345,-0.660455747068966,-0.518999254793103,-0.745619388275862,-0.601450293168103,-0.464863266203448,-0.644165090689655,-0.21784637912931,-0.0780663799310345,-0.125471536261207,-0.719518682068966,-0.654076893793104,-0.840768477758621,-0.711520305,-0.662960613965517,-0.877428027413793,-0.0479268073448276,-0.265201329777586,-0.124934752991379,-0.678229043793103,-0.825256594310345,-0.631977983103448,-0.722227058448276,-0.751301430172414,-0.63858571137931,-0.234230999855172,-0.378877614310345,-0.231324670713793,-0.594643208068965,-0.596033275344827,-0.121476185227241,-0.698801589310345,-0.741158152586207,0.0980039281672414,-0.761094961034483,-0.727987444827586,-0.227745965858621,-0.862078272241379,-0.886316965,0.086683627337931
"10","WALKING",1,95,1,0.272628957821053,-0.0134117056731579,-0.108515211431579,-0.588051822733684,-0.486132179691052,-0.748807513263158,0.584491311473684,0.285146111337895,0.122601454747368,-0.95598806368421,-0.951008741894737,-0.954829958526316,0.0922148406,0.00100299573097895,-0.00618287215526316,-0.589597699282211,-0.527370236651579,-0.854577967894737,-0.0576808055912631,-0.0779391112242105,0.098786998171579,-0.690794614589474,-0.815815784,-0.776022148,-0.103800769675789,-0.038214977911579,-0.0556022769427369,-0.69332066031579,-0.902795449157895,-0.746391486421053,-0.549007234549474,-0.607206302747369,-0.549007234549474,-0.607206302747369,-0.622045862343473,-0.600996365894737,-0.668516410627368,-0.690626064842106,-0.810173306526316,-0.830312870842106,-0.610826509063158,-0.495782875763158,-0.772382988526316,-0.580657434985263,-0.516456973592736,-0.755871900526316,-0.168452477953684,0.164539305237895,0.0256672757368211,-0.613075668566316,-0.554043913348421,-0.835149982210527,-0.602793681582105,-0.530709338108421,-0.873153814842105,0.0143492312423158,-0.147487794136842,-0.128147076781053,-0.615516629271579,-0.834210859368422,-0.724505674105263,-0.716092230042105,-0.807096850947368,-0.818322747263158,-0.0488621925251579,-0.368712927597895,0.113319204193684,-0.580392410640001,-0.686236548368421,0.195386973102105,-0.592609985485263,-0.614951712136842,0.170172173355789,-0.731726831063158,-0.718635570631579,-0.0876470237529474,-0.823547980736842,-0.852118635052632,0.17726589431579
